nom_barrag,name,population,dist_to_ville
Kasbat Tadla,Al Kamoun ⵍⴽⴰⵎⵓⵏ الكامون,0,3831.555006210542
Sidi Said Maachou,Ben Maachou ⴱⵏ ⵎⵄⴰⵛⵓ ابن معاشه,0,1180.434531022535
Mellah,Ouled Ziyane ⵡⵍⴰⴷ ⵣⵢⵢⴰⵏ أولاد زيان,0,6397.546989776009
Ali Thelat,Cherouta,0,4455.98730221636
El Kansra,El-Kansera du Beht ⵇⴰⵏⵚⵕⴰ القنصرة,0,1803.1879139495165
Lalla Takerkoust,Lalla Takarkoust ⵍⴰⵍⵍⴰ ⵜⴰⴽⵔⴽⵓⵙⵜ للا تكركوست,0,574.9709304829994
Imfout,Sidi Gahnem ⵙⵉⴷⵉ ⵖⴰⵏⵎ سيدي غانم,0,11377.930439458014
Daourat,Oulad Sidi Ali Ben Youssef ⵡⵍⴰⴷ ⵙⵉⴷⵉ ⵄⵍⵉ ⴱⵏⵢⵓⵙⴼ أولاد سيد,0,2978.114171691279
Zemrane,Bni Ykhlef بني يخلف,0,4940.522974411586
Bin El Oiudane,Bin El Ouidane ⴱⵉⵏ ⵍⵡⵉⴷⴰⵏ بين الويدان,0,1488.2515004487614
Ait Ourda,Ait Ouaarda ⴰⵢⵜ ⵡⴰⵡⵔⴷⴰ آيت واوردا,0,3053.834044715967
Mechraa Hammadi,Mechraa Hammadi ⵎⵛⵕⵄ ⵃⵎⵎⴰⴷⵉ مشرا حمادي,0,1155.9860949264519
Nakhla,Zinat ⵣⵉⵏⴰⵜ زينة,0,2830.7732390458386
Safi,Takabrout ⵜⴰⴽⴰⴱⵔⵓⵜ,0,2091.090819589099
Mohammed V,iherchiwene احيرشيون,0,13529.564473183069
Ajras,Tazroute تازروت,0,6216.141966175519
Moulay Youssef,Inichel,0,1269.4472370408228
Hassan Addakhil,El Khank ⵍⵅⵏⴽ الخنك,0,3147.998995976438
Idriss 1er,Douar El Areïra,0,2774.7905384607157
Sidi   Med.  Ben  Abdellah,Oum Azza ⵓⵎⴰⵣⵣⴰ أم عزة,0,7177.370819819646
Ibn  Batouta,Azzinate ⵣⵉⵏⴰⵜ الزينات,0,1230.0349962914686
Oued  El  Makhazine,Ksar Bjir قصر بجير,0,5232.215865843618
Al  Massira,,0,5426.811015226553
Med. Ben Abdelkrim  Khattabi,Bni Bouayach ⴰⵉⵜ ⴱⵓⵄⵢⴰⵛ بني بوعياش,15497,2712.1366378969574
Garde  du   Loukkos,Bdaoua Chejra بداوة الشجرة,0,4241.038707797314
Timi  Noutione,Azagza,0,716.9277458077844
Sidi  Driss,Oued Lakhdar ⵡⴰⴷ ⵍⵅⴹⵕ,0,993.6616614683021
Ait  Lamrabtya,Bouqachmir ⴱⵓⵇⵛⵎⵉⵕ بوقشمير,0,5584.458218284601
Arid,Rommani ⵕⵯⵎⵎⴰⵏⵉ الرماني,0,2252.4640131060273
Msakhskha,Aïn Bni Mathar ⵄⵉⵏ ⴱⵏⵉ ⵎⵟⵀⵕ عين بني مطهر,16289,26963.408953435483
SIDI ALI,Aïn Bni Mathar ⵄⵉⵏ ⴱⵏⵉ ⵎⵟⵀⵕ عين بني مطهر,16289,12788.539547920227
Kwacem  Aval,Oulad Abbou ⵡⵍⴰⴷ ⵄⴱⴱⵓ أولاد عبو,0,4864.623851008595
Imi  Larbaa,Ait Sidi Daoud ⴰⵢⵜ ⵙⵉⴷⵉ ⴷⴰⵡⴷ آيت سيدي داود,18976,4605.35394796993
N'ZALET AZRI,Kettara ⵇⵟⵟⴰⵕⴰ,0,5047.555705320055
Hassan  1,,0,2897.190988375014
Bni Smir,Ain Kaicher عين قيشر,0,5669.568558651097
Agafay,douar Ait Daoud ⴰⵢⵜ ⴷⴰⵡⴷ,0,4917.97377928388
Tlet  Boubker,Oulad Boubker أولاد بوبكر,5765,3738.795557991305
Si  El  Miari,Oulad Gouaouch أولاد ڭواوش,0,8706.619495506977
Tizguit Aval,Ifrane ⵉⴼⵔⴰⵏ إفران,30000,1743.8711082946347
Boukerdane,,0,6649.578263063134
Akkrouz,Akarroz ⴰⴽⵕⵕⵓⵥ,0,2810.714276743727
Achbarou,Ksar Achbarou,0,775.5893795421667
Boutaaricht,Gourrama ⴳⵯⵔⵔⴰⵎⴰ كرامة,0,4071.9089777278296
Hammou   Ourzag,Anoual ⴰⵏⵡⴰⵍ أنوال,0,49751.46911820606
Kheng   El  H'da,Oulad M'Hammed,0,18523.819593796903
Azib Douirani,Sidi Bouzid Arragragui ⵙⵉⴷⵉ ⴱⵓⵣⵉⴷ ⴰⵔⴳⵔⴰⴳⵉ سيدي بوزيد الر,0,6559.911590038408
Imin  Lhad,Neknafa ⵏⴽⵏⴰⴼⴰ,0,4724.956757912639
Batmat  Rma,Sidi Mohamed Ben Yahya(Ahl Oued Za),0,11887.454661565846
Ain Tourtoute,Aguelmouss ⴰⴳⵍⵎⵓⵙ أكلموس,0,8874.686096953137
Ruidat  Amont,Sabbah ⵚⴱⴱⴰⵃ صباح,0,10095.538086269726
Ain Koreima,Ain El Aouda ⵄⵉⵏ ⵄⵡⴷⴰ عين العودة,25105,3389.1332098484304
Mouilah,Bejaad ⴱⵊⵊⵄⴷ بجعد,46893,4441.932504630168
Boukhalef  1,Boukhalef ⴱⵓⵅⴰⵍⴼ بوخالف,0,2359.075740045125
Touiltest,Oulad Fennane أولاد فنان,0,2729.8100571118057
Itzar,Ait-Oufella,0,3029.801032843858
Allal   Al  Fassi,Aghbalou Aqorar ⴰⵖⴱⴰⵍⵓ ⴰⵇⵓⵕⴰⵕ أغبالو أقرار,0,5540.767390892135
Ras  Bel  Firane,Houara Oulad Raho هوارة أولاد رحو,0,3949.42395396388
Oued  Aricha,Oulad M'Hamed ⵡⵍⴰⴷ ⵎⵃⴰⵎⴷ أولاد امحمد,0,6325.7610501315485
Saboun,Gouaret Mechahia كوارت مشاهلة,0,957.368132412978
Sghir,Khandek Zarzour ⵅⵏⴷⵇ ⵣⵔⵣoⵔ خندق الزرزور,0,1628.3814533561174
Smir,Dr Oued Lil (Grpt Kassimi),0,2136.732236881147
Garde  de Sebou,Ouled Ameur,0,1776.3834505176678
Blad  El  Gaada,Ain Bida ⵄⵉⵏ ⴱⵉⴹⴰ عين البيضاء,0,3664.81927844907
Tizguit  Amont,Ifrane ⵉⴼⵔⴰⵏ إفران,30000,2540.683272925974
Jorf  El  Ghorab,Dr Mizab,0,5311.988963990496
Essaf,Dr O Belkaab- C,0,5599.782436024326
Douiss,Boudnib ⴱⵓⴷⵏⵉⴱ بوذنيب,0,10168.97219411982
Joumouaa,Targuist ⵜⴰⵔⴳⵉⵙⵜ تارجيست,11560,914.3429119885669
Mahraz,Oulad Tayeb ⵡⵍⴰⴷ ⵟⵢⵢⴱ أولاد الطيب,24594,2439.0169150241504
Sahla,Taounate ⵜⴰⵡⵏⴰⵜ تاونات,0,4239.055159593497
Aggay,Sefrou ⵚⴼⵕⵓ صفرو,0,5634.9051343133415
Neuf   Avril  1947,El Gor,0,4639.733476565342
Injil,Lahrahir Dayat Aoua ⴰⴳⵍⵎⴰⵎ ⵏ ⵄⵡⵡⴰ لهرهير ضاية عوا,0,3696.713134332633
Arabat,Oulad Mansour أولاد منصور,0,2533.867069877905
Al  Wahda,El Jorf Lamjaara,0,2776.645474592781
Sidi  Chahed,Mikkes ⵎⵉⴽⴽⵙ ميكس,0,3381.929837579344
Gharbia,Hajria (Croisement),0,3011.763328621282
Ben  Yakhlef,tigrourine تكرورين,0,783.8710406110425
MENZEL,tigrourine تكرورين,0,637.1318225277639
Barrage sur Oued Za (Ex Hassan II),Sidi Lahsen سيدي لحسن,0,11716.945478448335
Bouhouda,Bouhouda ⴱⵓⵀⵓⴷⴰ بوهودة,0,2987.42193795774
Bab  Louta,Smià الصميعة,0,5499.1289794557115
Asfalou,Tamedit تمضيت,0,5607.738208668329
Bouknadel,Ezzhiliga ⵣⵃⵉⵍⵉⴳⴰ ازحيليكة,15430,2530.208652129636
Ahmed  Al  Hansali,Ait Boumlal آيت أم البخث,0,3041.0444907626124
HAD LAGHOUALEM,Laghoualem ⵍⵖⵡⴰⵍⵎ الغوالم,0,2755.3962991960357
Ouled  Abbass,Ras El Ain ⵕⴰⵙ ⵍⵄⵉⵏ راس العين,0,7514.388428415538
Ait  Messaoud,Ait Chaiib ⴰⵢⵜ ⵛⵄⵉⴱ ايت شعيب,0,5885.141190599437
BOUBAGRA,Bni Zrantel بني زرنتل,0,5311.517023941118
DRAA LAGRAGRA,,0,5825.28258516107
BAAJ,Dar El Kebdani ⴷⴰⵕ ⴽⴱⴷⴰⵏⵉ دار الكبداني,10674,2357.8068380463483
SEHB EL  KHYAT,Bouarfa ⴱⵓⵄⴰⵔⴼⴰ بوعرفة,28846,23146.89799541763
ROKNET ENNAM,Bouarfa ⴱⵓⵄⴰⵔⴼⴰ بوعرفة,28846,26709.06078849303
OUED ENNAMOUS,Tendrara ⵜⵏⴷⵕⴰⵕⴰ تندرارة,8507,40187.25821501927
Hassan II (Ex Sidi Said),Taddamout,0,9760.333372082732
MOULAY HASSAN BELMAHDI,Sayediyech السعيدييش,0,3323.9649088533856
S.M.B SLIMANE JAZOULI,Targante ⵜⴰⵔⴳⴰⵏⵜ ترگانت,0,1984.901832543941
TAMASNA,M'Garto امڭارطو,0,6191.451786031582
HASSAR,Sidi Hajjaj Oued Hassar ⵙⵉⴷⵉ ⵃⵊⵊⴰⵊ ⵡⴰⴷ ⵃⵚⵚⴰⵕ سيدي حجاج و,0,4249.486694532673
RMEL,Eddalya ⴷⴰⵍⵢⴰ الدالية,0,2736.2008485235747
WIRGANE,Ouirgane ⵡⵉⵔⴳⴰⵏ ويرڭان,0,1812.4661647653936
AL HIMER,Bouguargouh بوڭرڭوح,0,1812.4349247790678
KOUDIAT EL GARNE,,0,1382.2943025640961
MAZER,Foqra Oulad Aameur ⵍⴼⵯⵇⵕⴰ ⵡⵍⴰⴷ ⵄⴰⵎⵔ الفقراء أولاد عامر,0,5306.772310474931
TASKOURT,Taskourt,0,1255.8104102265447
SEHB EL MERGA,,0,3361.7286227552786
SIDI YAHIA,Sidi Yahya Zaer ⵙⵉⴷⵉ ⵉⵃⵢⴰ ⵏ ⵣⵄⵉⵔ سيدي يحيى زعير,28773,6429.942801058294
EL HANDAK,Beni Mellal ⴰⵢⵜ ⵎⵍⵍⴰⵍ بني ملال,0,3298.09960288008
SFEISSIF,Hazem Delim حازم دليم,0,8730.007851387289
TATIOUINE,Tattiouine,0,891.1670947432762
TAKHZIRT,Ait Mlekt ⴰⵢⵜ ⵎⵍⴽⵜ,0,12799.78942575024
CHBIKA,Oulad Ftata أولاد فتاتة,0,4588.9198437240675
Bouhouta,Jnane Bouih ⵊⵏⴰⵏ ⴱⵯⵉⵀ اجنان بويه,0,3609.091060944788
Mansour Eddahbi,Kchait,0,7115.999687633517
Youssef Ben Tachfine,,0,2067.964396344826
Abdelmoumen,,0,3503.6983608668966
Sfa,Tagounite تاكونيت,0,263.50884412756585
Dkhila,Dkhila ⴷⵅⵉⵍⴰ دخيلة,0,523.6989546669806
Assif  Taguenza,Tamait Ouflla ⵜⴰⵎⴰⵄⵉⵜ ⵓⵡⴼⵍⴰ تماعيت أوفلا,0,670.5065912001917
Akka  N'oussikis,,0,1991.302339242144
Aoulouz,,0,1725.1777431969533
Imaouene,Trojdal ⵜⵕⵓⵊⴷⴰⵍ,0,4149.496721292535
Agherghis,Trojdal ⵜⵕⵓⵊⴷⴰⵍ,0,2766.94708067937
Imin  El   Kheng,,0,2304.1682475710127
Mokhtar  Soussi,,0,632.0961450818522
Moulay   Abdellah,Ait Khmis ⴰⵢⵜ ⵅⵎⵉⵙ أيت خميس,0,715.2210227477673
AHL SOUSS,Isselgane ايسلكــان,0,1056.9287377024427
TOUIZGUI RAMZ,Touizgui ⵜⵡⵉⵣⴳⵉ تويزگي,0,298.6082754577224
SIDI EL MAHJOUB,,0,2840.6221524818875
Taghdout,Taghaddoute,0,1340.6073660578488
Saquia  Al  Hamra,Akhfennir ⴰⵅⴼⵉⵏⵉⵔ أخفنير,0,51098.07914042746
OUIN KARA,Tilemzoun ⵜⵉⵍⵎⵣⵓⵏ تيلمزون,0,9245.254850833293
KHENG MESSAOUED,Tilemzoun ⵜⵉⵍⵎⵣⵓⵏ تيلمزون,0,20638.022825543994
Aman  Seyernine,Aïn Maarouf,0,9700.728264358808
